Collection,Occurrence Date,Item,Price,From,To,Trade Date
,,Algobots #447,0.99,Shaka(0xce7a9f981a2a79c79340297edff7bb6b73f71913),Q(0x918453d249a22b6a8535c81e21f7530cd6ab59f1),2021-04-13T04:06:50.154552
,,Algobots #175,0.9398397486252946,0x0a4eafeb533d4111a1fe3a8b323c468976ac2323(0x0a4eafeb533d4111a1fe3a8b323c468976ac2323),PieQueen(0x83f761963df58260406a6aa182803c290a85c093),2021-04-13T04:04:30.773389
,,Algobots #185,1.1,MichaelDiFeo(0x1a56f2e94c4178c847c8689748551c3e1a149e7f),Q(0x918453d249a22b6a8535c81e21f7530cd6ab59f1),2021-04-13T04:03:14.257069
,,Chromie Squiggle #833,0.9,idle(0x036eff96a00b461bf86cdfb6cf1fbee08e9e3be6),caniss(0x6c3e007377effd74afe237ce3b0aeef969b63c91),2021-04-13T03:19:40.897994
,,Algobots #105,1.0,(0x7630ed0ef5e6349ce9cd40ef4b0b09a7c7a8a0db),XXXX(0xcf6165e56c3383978f6eaaf58b314af41569c0f0),2021-04-13T03:01:48.693118
,,Algobots #249,0.987,(0xf9b7850ee758ca9878a052aeed04f24a50531ea1),XXXX(0xcf6165e56c3383978f6eaaf58b314af41569c0f0),2021-04-13T02:59:42.476889
,,Algobots #308,0.9947721127923077,fiffi(0x3e89857e967d6a00e2bfb2a39c2153f336eff03c),XXXX(0xcf6165e56c3383978f6eaaf58b314af41569c0f0),2021-04-13T02:58:19.462074
,,Algobots #253,0.985,nutella(0x63b68bb63da1b7363d452dc67e97a4b4fe737c09),XXXX(0xcf6165e56c3383978f6eaaf58b314af41569c0f0),2021-04-13T02:54:28.699448
,,Algobots #392,0.89,0x31400d4673f4176df400424fef2b37ff4d9058d0(0x31400d4673f4176df400424fef2b37ff4d9058d0),XXXX(0xcf6165e56c3383978f6eaaf58b314af41569c0f0),2021-04-13T02:52:48.753854
,,Algobots #90,5.0,(0x658a92fdf5ca5a7fc744178dd34b11bfef7d0ac1),DandelionCollects(0xe03a5189dac8182085e4adf66281f679fff2291d),2021-04-13T02:32:02.870095
,,Algobots #48,4.5,(0xffd20f56def5c06d982a58211386b4113ba2c731),DandelionCollects(0xe03a5189dac8182085e4adf66281f679fff2291d),2021-04-13T02:29:34.103809
